id,Age,Gender,Sleep_Start,Sleep_End,Sleep_Duration,Sleep_Quality,Exercise_Time,Caffeine_Intake,Screen_Time_Before_Bed,Work_Hours,Productivity_Score,Mood_Score,Stress_Level
1593.0,57.0,Other,20.47,2.94,6.47,6.0,41.0,20.0,41.0,11.136677511521874,9.0,1.0,8.0
1571.0,46.0,Male,21.82,2.51,4.69,8.0,20.0,283.0,33.0,7.090791278786524,6.0,8.0,1.0
9080.0,40.0,Male,22.07,6.25,8.19,1.0,86.0,100.0,7.0,4.333383204819074,9.0,7.0,1.0
9599.0,52.0,Male,20.32,4.5,8.19,10.0,30.0,227.0,138.0,11.76599966136536,3.0,7.0,3.0
9754.0,22.0,Male,21.88,6.21,8.32,10.0,37.0,110.0,111.0,11.742880278760245,8.0,8.0,9.0
6110.0,23.0,Other,20.95,3.29,6.34,4.0,19.0,23.0,153.0,7.132205585422635,5.0,6.0,8.0
6891.0,37.0,Male,22.1,5.0,6.9,3.0,87.0,228.0,79.0,5.803510043709551,4.0,4.0,8.0
9623.0,53.0,Female,22.8,5.47,6.67,2.0,62.0,115.0,112.0,8.785802352509911,9.0,6.0,1.0
2283.0,37.0,Other,22.23,4.78,6.55,7.0,8.0,89.0,143.0,5.6234909405992175,4.0,10.0,2.0
8531.0,48.0,Male,23.33,4.18,4.84,10.0,29.0,219.0,134.0,5.975830392575999,8.0,10.0,6.0
2537.0,39.0,Male,21.15,3.96,6.81,3.0,38.0,85.0,75.0,4.498184847055085,8.0,6.0,10.0
2727.0,49.0,Other,20.32,3.54,7.22,4.0,85.0,142.0,119.0,5.010030262340908,6.0,4.0,9.0
9078.0,57.0,Female,21.98,5.96,7.98,2.0,6.0,258.0,26.0,6.215235899022471,8.0,6.0,1.0
1669.0,30.0,Female,23.45,8.36,8.91,7.0,26.0,24.0,130.0,8.219196976981411,9.0,4.0,2.0
1587.0,45.0,Female,21.78,5.84,8.06,8.0,89.0,189.0,160.0,5.918992902047558,4.0,2.0,9.0
7659.0,42.0,Other,21.23,2.8,5.56,3.0,56.0,116.0,45.0,10.073989864486744,4.0,1.0,7.0
6661.0,31.0,Other,23.8,4.51,4.71,8.0,13.0,153.0,101.0,6.240298636403916,9.0,3.0,3.0
1264.0,50.0,Male,21.17,2.04,4.87,9.0,58.0,221.0,40.0,4.385142687826828,4.0,8.0,2.0
8804.0,39.0,Male,23.9,7.06,7.16,1.0,47.0,157.0,11.0,8.662454680667917,2.0,5.0,5.0
8851.0,50.0,Male,20.13,5.18,9.05,4.0,34.0,215.0,64.0,4.201135666218182,7.0,8.0,6.0
7317.0,32.0,Male,22.42,3.74,5.32,6.0,20.0,37.0,19.0,10.310418111242877,3.0,4.0,7.0
7716.0,29.0,Female,21.43,2.63,5.2,10.0,64.0,92.0,108.0,7.85632846489666,8.0,3.0,4.0
9210.0,29.0,Male,20.73,4.27,7.54,1.0,44.0,89.0,102.0,11.632265020680324,5.0,8.0,9.0
9365.0,40.0,Female,20.77,1.56,4.8,4.0,81.0,145.0,67.0,7.070711064359836,4.0,2.0,5.0
2774.0,45.0,Male,20.18,1.08,4.9,9.0,38.0,257.0,28.0,9.42935965338052,2.0,3.0,10.0
5008.0,29.0,Other,22.0,2.92,4.92,10.0,84.0,61.0,48.0,5.728410920093498,9.0,7.0,8.0
2819.0,38.0,Female,22.28,4.8,6.52,7.0,72.0,121.0,29.0,7.571356131212657,2.0,3.0,3.0
1006.0,21.0,Male,23.0,5.23,6.23,4.0,18.0,156.0,145.0,9.095218539637946,1.0,1.0,6.0
3172.0,54.0,Female,23.6,6.47,6.87,6.0,67.0,273.0,112.0,4.7056136303189655,4.0,1.0,6.0
,58.0,Male,20.55,1.89,5.34,5.0,86.0,41.0,97.0,6.074679178536756,3.0,10.0,1.0
1382.0,38.0,Other,22.05,4.29,6.24,8.0,12.0,110.0,97.0,7.911182654339611,3.0,1.0,3.0
9017.0,57.0,Female,20.38,3.99,7.6,5.0,84.0,7.0,27.0,10.820462255212428,5.0,4.0,6.0
2960.0,29.0,Female,20.83,3.65,6.81,4.0,69.0,182.0,101.0,8.179553163243716,8.0,7.0,9.0
4935.0,25.0,Other,22.62,4.4,5.78,5.0,12.0,188.0,30.0,9.872238100714451,2.0,6.0,6.0
4906.0,27.0,Female,23.33,5.63,6.29,2.0,40.0,151.0,34.0,5.685639710937625,9.0,3.0,3.0
3368.0,34.0,Male,21.87,2.54,4.67,3.0,52.0,274.0,56.0,10.076891429598373,1.0,7.0,7.0
6565.0,27.0,Female,23.12,6.39,7.27,4.0,31.0,13.0,177.0,9.711621060052718,4.0,5.0,8.0
8161.0,46.0,Female,21.52,4.98,7.47,1.0,86.0,87.0,49.0,7.735743999708886,6.0,5.0,9.0
4607.0,28.0,Male,23.77,8.99,9.22,9.0,20.0,210.0,139.0,11.995729985725044,1.0,5.0,6.0
3587.0,58.0,Other,22.78,4.33,5.54,3.0,70.0,12.0,140.0,7.326380005499601,2.0,9.0,9.0
4748.0,55.0,Female,21.27,2.39,5.12,10.0,34.0,110.0,101.0,8.24750142729675,6.0,4.0,8.0
5402.0,26.0,Other,23.53,7.06,7.53,8.0,71.0,44.0,58.0,6.423325830665541,3.0,9.0,2.0
6690.0,43.0,Other,21.93,5.55,7.61,10.0,44.0,266.0,103.0,11.251367711315496,1.0,1.0,4.0
1215.0,48.0,Male,21.82,5.77,7.95,2.0,4.0,83.0,51.0,5.842007365684117,8.0,6.0,1.0
3783.0,38.0,Female,20.08,1.96,5.87,6.0,61.0,209.0,77.0,8.37261713625836,3.0,6.0,8.0
6258.0,54.0,Male,21.3,2.68,5.38,6.0,81.0,153.0,133.0,5.520861198269821,3.0,2.0,1.0
6973.0,46.0,Female,23.13,7.81,8.68,4.0,27.0,254.0,170.0,4.368453873519651,10.0,8.0,2.0
6722.0,39.0,Male,22.93,5.45,6.51,10.0,8.0,247.0,154.0,11.638775944307746,1.0,9.0,7.0
2772.0,58.0,Male,23.07,7.16,8.1,8.0,50.0,148.0,98.0,6.610707447455898,3.0,3.0,7.0
,45.0,Female,20.43,1.28,4.85,3.0,36.0,194.0,110.0,10.487028648063347,8.0,4.0,2.0
4075.0,20.0,Female,20.8,4.0,7.2,8.0,22.0,68.0,94.0,5.0229344097793405,9.0,9.0,9.0
4240.0,22.0,Male,22.95,4.96,6.01,5.0,24.0,111.0,154.0,6.171508621073602,9.0,6.0,4.0
6141.0,38.0,Female,20.12,3.92,7.81,7.0,30.0,201.0,31.0,5.338570432008483,9.0,1.0,10.0
3832.0,21.0,Other,20.97,5.26,8.3,6.0,64.0,190.0,50.0,6.9542461617243285,9.0,8.0,2.0
2363.0,20.0,Male,22.8,6.94,8.14,7.0,63.0,64.0,80.0,7.044141678959156,4.0,4.0,2.0
9234.0,52.0,Female,21.53,6.88,9.35,7.0,3.0,215.0,58.0,8.008703042097576,6.0,9.0,1.0
,22.0,Other,23.08,4.18,5.09,3.0,18.0,203.0,79.0,5.0537202286327485,10.0,9.0,4.0
5595.0,33.0,Male,20.18,2.12,5.94,5.0,26.0,139.0,144.0,11.479955454710122,5.0,9.0,5.0
1517.0,22.0,Female,20.07,1.52,5.45,4.0,40.0,218.0,176.0,7.180899028422965,3.0,10.0,2.0
4554.0,19.0,Female,20.55,4.57,8.02,6.0,78.0,282.0,9.0,7.605491799511305,6.0,9.0,4.0
9801.0,47.0,Male,20.45,4.09,7.64,4.0,6.0,136.0,163.0,11.517212090348066,10.0,4.0,9.0
3093.0,59.0,Female,23.62,4.63,5.01,2.0,26.0,53.0,177.0,4.741003864410938,5.0,9.0,4.0
3426.0,26.0,Other,21.3,4.75,7.45,1.0,42.0,40.0,169.0,9.606941086891457,8.0,7.0,1.0
9342.0,49.0,Other,23.53,5.11,5.57,5.0,42.0,289.0,39.0,6.838886645969183,2.0,3.0,10.0
2014.0,44.0,Female,23.83,8.19,8.35,1.0,72.0,106.0,88.0,6.668854312232345,1.0,6.0,5.0
2873.0,38.0,Female,20.95,2.69,5.74,6.0,39.0,113.0,106.0,11.490244971751412,2.0,2.0,6.0
6103.0,46.0,Male,20.15,5.36,9.21,2.0,70.0,108.0,46.0,9.481074478995872,3.0,4.0,5.0
1195.0,29.0,Other,23.68,6.86,7.18,5.0,60.0,51.0,87.0,10.314342786557486,7.0,7.0,5.0
7121.0,59.0,Female,22.25,7.13,8.88,5.0,60.0,136.0,5.0,8.426969517998174,3.0,7.0,6.0
1086.0,34.0,Other,23.03,5.61,6.57,6.0,72.0,284.0,164.0,7.288748871043518,4.0,7.0,1.0
9306.0,53.0,Female,20.68,4.22,7.54,7.0,46.0,245.0,126.0,5.873626967410673,8.0,8.0,9.0
4360.0,50.0,Other,22.15,4.71,6.56,10.0,64.0,140.0,128.0,9.05135136974701,1.0,5.0,7.0
5951.0,43.0,Male,22.2,4.66,6.46,1.0,66.0,6.0,57.0,8.062440511670232,5.0,1.0,1.0
7314.0,42.0,Other,20.03,3.34,7.3,5.0,31.0,281.0,123.0,11.052507639526056,6.0,9.0,8.0
4904.0,46.0,Male,21.25,2.77,5.52,3.0,70.0,205.0,156.0,5.467537571227476,2.0,9.0,3.0
1670.0,51.0,Male,23.23,3.98,4.74,4.0,7.0,200.0,57.0,10.255679817263673,7.0,10.0,4.0
6330.0,46.0,Other,22.45,3.92,5.47,6.0,28.0,214.0,130.0,7.465304890521331,10.0,4.0,10.0
4645.0,59.0,Female,20.2,4.26,8.06,8.0,58.0,39.0,129.0,7.398806742944695,10.0,1.0,10.0
5500.0,49.0,Other,22.07,5.72,7.65,2.0,47.0,216.0,55.0,5.608521216399561,8.0,8.0,7.0
,32.0,Other,21.57,6.76,9.19,5.0,84.0,124.0,137.0,7.1247488606542575,4.0,3.0,2.0
6232.0,59.0,Female,20.22,0.98,4.77,2.0,26.0,54.0,119.0,11.533535893264244,5.0,5.0,7.0
5749.0,37.0,Female,23.53,7.08,7.55,8.0,19.0,221.0,165.0,8.287480630816946,8.0,10.0,2.0
3789.0,19.0,Female,21.17,4.63,7.46,8.0,42.0,149.0,147.0,4.253950122983909,8.0,10.0,1.0
3387.0,33.0,Female,21.7,3.26,5.56,8.0,47.0,154.0,87.0,11.076666343369505,9.0,3.0,3.0
2257.0,34.0,Other,22.9,6.49,7.59,5.0,19.0,230.0,52.0,11.802745067832564,1.0,1.0,10.0
7034.0,28.0,Female,21.1,2.65,5.55,2.0,19.0,49.0,101.0,11.539067632018217,4.0,5.0,4.0
6457.0,55.0,Other,23.92,4.83,4.91,2.0,30.0,10.0,45.0,10.4304391238678,5.0,6.0,10.0
7381.0,41.0,Other,23.78,5.15,5.37,7.0,16.0,64.0,56.0,9.721491638241927,5.0,8.0,2.0
3535.0,30.0,Male,20.8,2.18,5.38,3.0,76.0,187.0,89.0,10.95684865979822,6.0,4.0,7.0
2695.0,55.0,Other,21.92,3.34,5.43,3.0,27.0,130.0,149.0,8.830807860322224,6.0,8.0,7.0
,29.0,Male,22.5,5.87,7.37,5.0,61.0,126.0,168.0,6.021168244970293,5.0,10.0,4.0
1870.0,30.0,Female,20.75,5.39,8.64,5.0,20.0,111.0,54.0,9.172803551589295,3.0,4.0,9.0
3761.0,48.0,Male,22.85,4.74,5.89,9.0,51.0,136.0,110.0,5.285436677694761,3.0,2.0,9.0
2806.0,29.0,Male,20.22,5.29,9.07,8.0,71.0,154.0,11.0,7.03801218335454,8.0,10.0,3.0
6831.0,58.0,Male,22.83,5.06,6.23,1.0,20.0,114.0,62.0,4.331993337464636,7.0,1.0,6.0
2051.0,19.0,Female,22.6,7.52,8.92,4.0,85.0,217.0,176.0,6.252928336845054,10.0,4.0,10.0
6552.0,39.0,Male,21.53,2.62,5.08,10.0,51.0,24.0,20.0,8.668840296064797,10.0,5.0,6.0
8279.0,40.0,Other,21.33,5.94,8.6,6.0,22.0,191.0,39.0,7.196150276695478,9.0,4.0,1.0
7646.0,28.0,Male,23.07,4.06,4.99,5.0,54.0,36.0,55.0,4.7373436677794585,6.0,5.0,9.0
4806.0,38.0,Other,21.9,2.98,5.08,9.0,75.0,277.0,39.0,11.915454126237051,1.0,1.0,9.0
7837.0,59.0,Male,22.27,3.15,4.88,3.0,79.0,7.0,174.0,4.414287109862535,6.0,10.0,1.0
5591.0,31.0,Male,21.57,3.17,5.61,8.0,60.0,142.0,53.0,10.095068894899551,1.0,5.0,8.0
5621.0,31.0,Male,22.72,3.8,5.08,3.0,62.0,238.0,162.0,4.614424386515372,3.0,4.0,4.0
9095.0,57.0,Male,20.27,5.26,9.0,2.0,64.0,287.0,163.0,7.305380137661756,10.0,5.0,4.0
9378.0,33.0,Female,23.73,5.33,5.6,2.0,30.0,258.0,135.0,8.019418297331011,9.0,7.0,2.0
7726.0,56.0,Female,20.93,2.86,5.93,10.0,17.0,196.0,116.0,7.427663230790364,2.0,7.0,5.0
9069.0,21.0,Male,22.08,3.84,5.76,2.0,14.0,95.0,5.0,6.6016895702096905,3.0,10.0,1.0
3971.0,51.0,Male,23.78,6.49,6.71,10.0,77.0,93.0,118.0,10.439709843194036,9.0,3.0,4.0
,27.0,Other,22.17,6.82,8.65,6.0,44.0,208.0,125.0,10.947276191575472,9.0,10.0,2.0
9711.0,22.0,Female,23.58,6.33,6.75,5.0,29.0,150.0,143.0,6.655986353902121,7.0,4.0,5.0
5290.0,32.0,Other,21.85,3.16,5.31,10.0,20.0,63.0,164.0,10.081287438321272,4.0,4.0,9.0
5926.0,53.0,Female,21.52,5.42,7.9,5.0,53.0,29.0,44.0,6.700259727070551,2.0,6.0,4.0
1691.0,53.0,Male,22.83,5.39,6.56,6.0,78.0,147.0,8.0,8.364656974336532,2.0,2.0,5.0
7553.0,28.0,Female,22.17,6.9,8.73,3.0,26.0,181.0,48.0,9.460259676301773,6.0,4.0,6.0
5873.0,59.0,Male,20.92,5.15,8.24,10.0,46.0,245.0,21.0,4.976059308615112,2.0,9.0,2.0
1325.0,42.0,Other,21.02,4.55,7.54,9.0,71.0,246.0,128.0,6.519347556711166,7.0,7.0,6.0
,50.0,Other,23.57,7.4,7.83,4.0,19.0,72.0,166.0,10.982875372525315,6.0,3.0,6.0
9362.0,30.0,Male,23.93,5.86,5.92,4.0,52.0,42.0,41.0,8.188508636238847,3.0,10.0,7.0
8244.0,45.0,Male,23.92,4.7,4.79,7.0,50.0,267.0,10.0,9.102193134764732,6.0,2.0,3.0
9105.0,45.0,Male,22.65,5.87,7.22,4.0,46.0,262.0,10.0,11.261883465420102,4.0,9.0,10.0
,54.0,Female,20.38,5.5,9.12,9.0,53.0,115.0,117.0,9.024956249948572,1.0,7.0,10.0
,47.0,Male,20.23,2.99,6.76,9.0,50.0,105.0,46.0,8.93142541897496,6.0,4.0,10.0
7360.0,59.0,Other,21.27,6.54,9.27,9.0,73.0,137.0,134.0,8.202067350252666,2.0,6.0,4.0
3560.0,51.0,Male,23.7,7.69,7.99,4.0,0.0,70.0,177.0,10.975304490244044,3.0,8.0,8.0
9947.0,44.0,Female,20.28,1.64,5.36,3.0,46.0,250.0,30.0,8.765438593292236,1.0,7.0,10.0
1421.0,54.0,Female,20.72,1.46,4.74,10.0,10.0,67.0,122.0,8.704003707437028,1.0,2.0,8.0
3313.0,33.0,Female,23.92,6.67,6.76,2.0,11.0,187.0,153.0,10.054064721975426,9.0,4.0,9.0
6649.0,30.0,Other,21.45,2.33,4.88,9.0,50.0,55.0,154.0,10.127772598841432,9.0,8.0,4.0
8235.0,51.0,Other,21.12,4.37,7.25,8.0,47.0,93.0,172.0,5.895391951173788,9.0,4.0,6.0
9558.0,35.0,Female,21.9,2.96,5.06,2.0,54.0,202.0,146.0,11.940116961295772,5.0,10.0,6.0
1126.0,52.0,Female,20.37,3.71,7.34,6.0,15.0,27.0,162.0,7.168007731084922,8.0,7.0,7.0
6014.0,44.0,Male,23.28,4.13,4.85,8.0,50.0,169.0,134.0,10.241701188285068,4.0,6.0,9.0
3156.0,48.0,Male,21.65,5.2,7.55,1.0,86.0,147.0,100.0,11.295676673597065,1.0,9.0,2.0
9488.0,23.0,Other,20.62,1.57,4.96,2.0,39.0,258.0,116.0,7.773195926004763,8.0,3.0,2.0
7297.0,21.0,Male,23.23,4.5,5.27,4.0,68.0,246.0,4.0,8.516725111467707,2.0,2.0,4.0
1198.0,19.0,Female,23.98,5.53,5.55,8.0,63.0,150.0,156.0,6.427084349033065,3.0,5.0,7.0
3933.0,37.0,Male,22.35,4.88,6.53,3.0,61.0,143.0,127.0,11.274021555495938,4.0,9.0,7.0
7326.0,31.0,Male,22.62,6.32,7.71,3.0,48.0,143.0,110.0,6.139322227776861,3.0,8.0,2.0
7738.0,59.0,Male,22.73,7.53,8.79,10.0,33.0,35.0,152.0,11.294549029488731,2.0,7.0,6.0
4197.0,42.0,Other,20.75,4.48,7.73,10.0,27.0,74.0,165.0,4.041117020684482,3.0,10.0,5.0
2894.0,47.0,Other,23.83,9.06,9.23,6.0,58.0,108.0,128.0,8.78271989476548,8.0,8.0,6.0
,20.0,Female,20.65,5.45,8.8,1.0,79.0,229.0,171.0,5.556280265347873,10.0,5.0,1.0
6603.0,54.0,Male,22.27,5.07,6.8,5.0,47.0,223.0,2.0,9.67511057459509,3.0,4.0,1.0
6969.0,31.0,Female,22.23,7.54,9.31,2.0,35.0,246.0,7.0,9.561499729680524,9.0,2.0,8.0
7468.0,22.0,Other,20.6,2.12,5.52,5.0,41.0,184.0,65.0,4.001816305746044,4.0,6.0,6.0
3721.0,46.0,Female,22.75,7.63,8.88,7.0,64.0,96.0,0.0,4.953125375968385,4.0,2.0,1.0
2128.0,53.0,Female,21.25,2.91,5.66,2.0,87.0,55.0,112.0,7.134487156937373,2.0,6.0,1.0
8942.0,57.0,Female,21.95,5.14,7.19,1.0,51.0,284.0,148.0,8.27728738460419,9.0,10.0,3.0
7568.0,59.0,Female,20.5,2.7,6.2,2.0,16.0,293.0,141.0,9.39214027907174,8.0,6.0,3.0
2910.0,36.0,Male,23.55,8.6,9.05,1.0,51.0,197.0,164.0,5.375012097087394,1.0,5.0,5.0
,57.0,Female,23.45,7.8,8.35,10.0,63.0,170.0,16.0,10.55699895638116,7.0,7.0,5.0
7413.0,49.0,Female,22.15,3.39,5.24,2.0,29.0,227.0,148.0,7.056987955679785,1.0,1.0,10.0
